shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
radial_segment_3d,0.03,10000,1,10,hhcart_d,0,0.6938,0.0,,,0.0,0.0,0,1,0,0.0,1.0653864592313766e-05
radial_segment_3d,0.03,10000,1,10,hhcart_d,1,0.6938,0.0,,,0.4826910516002614,0.4451376550818937,1,2,10,0.0,283.2519580642693
radial_segment_3d,0.03,10000,1,10,hhcart_d,2,0.7635,0.914435009797518,0.5710789312665715,0.7030759573132456,0.6969301110385371,0.5392073765736647,3,4,10,10.0,449.2403237679973
radial_segment_3d,0.03,10000,1,10,hhcart_d,3,0.803,0.8879817112998041,0.6256327657616199,0.7340712742980562,0.82078706727629,0.5382817897184851,7,8,10,10.0,551.888453502208
radial_segment_3d,0.03,10000,1,10,hhcart_d,4,0.8073,0.935009797517962,0.6236114136353735,0.7482033189598849,0.800830456284408,0.4779364423724845,13,14,10,10.0,631.5537474718876
radial_segment_3d,0.03,10000,1,10,hhcart_d,5,0.8319,0.670476812540823,0.7533944954128441,0.7095213409365819,0.8440496407576745,0.5024719676908442,24,25,10,10.0,671.1635979870334
radial_segment_3d,0.03,10000,1,10,hhcart_d,6,0.8747,0.813847158719791,0.7848818897637795,0.7991021324354657,0.8723205272846031,0.4790732919201221,43,44,10,10.0,709.845332135912
radial_segment_3d,0.03,10000,1,10,hhcart_d,7,0.8927,0.9163945133899412,0.774496273806238,0.8394913986537023,0.8904003256373119,0.5064516438583693,68,69,10,10.0,738.0507267741486
radial_segment_3d,0.03,10000,1,10,hhcart_d,8,0.9193,0.8984323971260614,0.8472436094856791,0.8720874940561103,0.89421790924077,0.5144327564491504,104,105,10,10.0,772.3883334649727
radial_segment_3d,0.03,10000,1,10,hhcart_d,9,0.9347,0.9177008491182234,0.8751167860479602,0.8959030766778256,0.895413702402599,0.5148534307915944,147,148,10,10.0,786.1611747490242
radial_segment_3d,0.03,10000,1,10,hhcart_d,10,0.9484,0.9399085564990204,0.8965732087227415,0.9177295918367347,0.8896552424335746,0.5051356698016514,192,193,10,10.0,805.4725974332541
radial_segment_3d,0.03,10000,1,10,hhcart_d,11,0.9584,0.9510124101894188,0.9162995594713657,0.9333333333333332,0.8937149255521935,0.5013474892849068,244,245,10,10.0,816.2316740462556
radial_segment_3d,0.03,10000,1,10,hhcart_d,12,0.9653,0.956564337034618,0.931912185809736,0.9440773569701852,0.888740706013013,0.5048763021684843,286,287,10,10.0,840.2377460370772
