shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_15,15,oc1,0,0.6934,0.0,,,0.0,0.0,0,1,0,0.0,0.0,0.0,,0.0004953481256961823
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_15,15,oc1,1,0.6934,0.0,,,0.3718199608610566,0.1670039486673247,1,2,15,0.0,0.0,0.0,,254.2179185100831
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_15,15,oc1,2,0.6934,0.0,,,0.5574037834311807,0.31267476734597377,3,4,15,15.0,0.0,0.0,,423.54023541416973
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_15,15,oc1,3,0.6934,0.0,,,0.6379647749510764,0.28562910265870034,7,8,15,15.0,0.0,0.0,,541.7595317168161
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_15,15,oc1,4,0.6944,0.0091324200913242,0.6086956521739131,0.01799485861182519,0.6518672537508152,0.3457488657588679,15,16,15,15.0,0.0,0.0,,597.6866055149585
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_15,15,oc1,5,0.7025,0.07436399217221135,0.6246575342465753,0.13290585835033517,0.8179197441238979,0.4683673717739758,30,31,15,15.0,0.0,0.0,,741.9177728951909
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_15,15,oc1,6,0.7357,0.40541422048271364,0.6025206010664081,0.48469487229479435,0.790250845045366,0.4662417047564671,54,55,15,15.0,0.0,0.0,,720.2343469019979
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_15,15,oc1,7,0.757,0.6634050880626223,0.5926573426573427,0.6260387811634349,0.8486327612449478,0.5241337674892461,86,87,15,15.0,0.0,0.0,,877.2655036468059
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_15,15,oc1,8,0.8083,0.7720156555772995,0.6602510460251046,0.7117726657645468,0.8132087453506303,0.48876433001151165,150,151,15,15.0,0.0,0.0,,816.6717328811064
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_15,15,oc1,9,0.8033,0.7703848662752772,0.6515862068965518,0.7060230159916305,0.8426050316461275,0.5025648273839634,184,185,15,15.0,0.0,0.0,,951.8890689029358
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_15,15,oc1,10,0.8206,0.8473581213307241,0.6620795107033639,0.7433476394849786,0.8601162032191021,0.5284211343093304,257,258,15,15.0,0.0,0.0,,974.7588111269288
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_15,15,oc1,11,0.857,0.8405088062622309,0.7325184764070495,0.7828068043742407,0.8309606565995851,0.5006398914365264,334,335,15,15.0,0.0,0.0,,990.6859806058928
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples_dim_15,15,oc1,12,0.8821,0.8649706457925636,0.7761194029850746,0.8181397501156873,0.8363580686988934,0.49415459199357037,408,409,15,15.0,0.0,0.0,,1028.6495301676914
