seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,rectangle_2d_fuzziness_007,2,cart,0,0.5948,0.0,,,0.0,0.0,0,1,7.929746061563492e-06
1,rectangle_2d_fuzziness_007,2,cart,1,0.5948,0.0,,,0.4511352418558736,0.31584074579503807,1,2,7.951952298171818
1,rectangle_2d_fuzziness_007,2,cart,2,0.7142,0.8311944718657454,0.6077228437387224,0.7021054825932874,0.6315399802566635,0.3904720120053009,3,4,12.829696660861373
1,rectangle_2d_fuzziness_007,2,cart,3,0.7768,0.7566633761105627,0.711038961038961,0.7331420373027259,0.7358094768015793,0.4903219890091821,7,8,15.657847677823156
1,rectangle_2d_fuzziness_007,2,cart,4,0.8336,0.7235932872655478,0.8434982738780207,0.7789585547290117,0.8100937808489632,0.5724195975406892,15,16,17.399165916722268
1,rectangle_2d_fuzziness_007,2,cart,5,0.8568,0.8262586377097729,0.8213935230618253,0.8238188976377953,0.8446645224978504,0.5548750525531312,30,31,18.851007672026753
1,rectangle_2d_fuzziness_007,2,cart,6,0.8764,0.8232971372161896,0.8651452282157677,0.8437025796661609,0.8684123932734105,0.5680652386391596,56,57,19.58844533795491
1,rectangle_2d_fuzziness_007,2,cart,7,0.8914,0.843040473840079,0.8836006207966891,0.8628441525637788,0.8775809217020836,0.5690291621255132,94,95,20.77472310932353
1,rectangle_2d_fuzziness_007,2,cart,8,0.9036,0.851431391905232,0.9050367261280168,0.8774160732451679,0.8723038851100082,0.5309190323364024,145,146,20.814170951023698
1,rectangle_2d_fuzziness_007,2,cart,9,0.9142,0.8721618953603159,0.9122354155911203,0.8917486752460257,0.8664868669025168,0.5310824802622685,208,209,21.446558515075594
1,rectangle_2d_fuzziness_007,2,cart,10,0.9228,0.8716683119447186,0.9334038054968288,0.9014803471158753,0.8544664811989591,0.5199246712200059,274,275,21.57139135990292
1,rectangle_2d_fuzziness_007,2,cart,11,0.9324,0.8928923988153998,0.9373056994818653,0.9145601617795753,0.8505690726438655,0.5145630632389075,339,340,21.443823661189526
1,rectangle_2d_fuzziness_007,2,cart,12,0.9382,0.9002961500493584,0.9445882962195753,0.9219105382865806,0.8445084369517515,0.5096770315581649,385,386,21.273609646130353
