shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
radial_segment_3d,0.03,2000,1,3,moc1,0,0.688,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0002976665273308754
radial_segment_3d,0.03,2000,1,3,moc1,1,0.688,0.0,0.0,0.0,0.47275641025641013,0.4241811492327483,1,2,3,3.0,6.194971101358533
radial_segment_3d,0.03,2000,1,3,moc1,2,0.7985,0.9086538461538461,0.6210295728368017,0.7378009108653221,0.5876068376068377,0.54137121998366,2,3,3,3.0,11.090150657109916
radial_segment_3d,0.03,2000,1,3,moc1,3,0.83,0.8958333333333334,0.670263788968825,0.7668038408779151,0.725641025641026,0.5781799793502869,4,5,3,3.0,14.553755660541356
radial_segment_3d,0.03,2000,1,3,moc1,4,0.8535,0.8862179487179487,0.7135483870967742,0.7905646890636168,0.7876602564102562,0.5685910847112383,7,8,3,3.0,19.32016579248011
radial_segment_3d,0.03,2000,1,3,moc1,5,0.8625,0.7772435897435898,0.7809983896940419,0.7791164658634538,0.7871260683760686,0.5742275061805533,11,12,3,3.0,21.31855178438127
radial_segment_3d,0.03,2000,1,3,moc1,6,0.902,0.9471153846153846,0.7838196286472149,0.8577648766328011,0.7998575498575498,0.5674485951939883,17,18,3,3.0,24.80562239140272
radial_segment_3d,0.03,2000,1,3,moc1,7,0.9265,0.9118589743589743,0.8608169440242057,0.8856031128404668,0.8575641025641021,0.5653402113259605,24,25,3,3.0,28.29710702318698
radial_segment_3d,0.03,2000,1,3,moc1,8,0.9405,0.8990384615384616,0.9092382495948136,0.904109589041096,0.8382961124896611,0.5726779900638723,30,31,3,3.0,29.616109089925885
radial_segment_3d,0.03,2000,1,3,moc1,9,0.948,0.8814102564102564,0.9482758620689655,0.9136212624584718,0.8564903846153848,0.5756758097361716,39,40,3,3.0,33.437496807426214
radial_segment_3d,0.03,2000,1,3,moc1,10,0.955,0.9134615384615384,0.9405940594059405,0.926829268292683,0.843707827260459,0.5699175811635924,37,38,3,3.0,33.84338877722621
radial_segment_3d,0.03,2000,1,3,moc1,11,0.9725,0.9423076923076923,0.9686985172981878,0.9553208773354995,0.8643162393162394,0.5565517092027665,50,51,3,3.0,37.3626771569252
radial_segment_3d,0.03,2000,1,3,moc1,12,0.974,0.9471153846153846,0.9688524590163935,0.9578606158833064,0.867224596391263,0.5566602450658866,53,54,3,3.0,38.048866593278944
