seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,gini_coverage_class_1_leaves,gini_density_class_1_leaves,splits,leaves,runtime
11,barbell_2d_fuzziness_000,2,hhcart,0,0.7288,0.0,,,0.0,0.0,0.0,0.0,0,1,4.799998350790702e-06
11,barbell_2d_fuzziness_000,2,hhcart,1,0.7288,0.0,,,0.018436578171091345,0.016439002802773217,0.0,0.0,1,2,0.004915800000162562
11,barbell_2d_fuzziness_000,2,hhcart,2,0.7288,0.0,,,0.1515486725663715,0.19919479852828115,0.0,0.0,3,4,0.011918000000150641
11,barbell_2d_fuzziness_000,2,hhcart,3,0.7298,0.32448377581120946,0.5028571428571429,0.3944419542805917,0.4629161399072903,0.392648443389237,0.0,0.0,6,7,0.01778780000131519
11,barbell_2d_fuzziness_000,2,hhcart,4,0.758,0.32448377581120946,0.5994550408719346,0.4210526315789474,0.6276481630463933,0.517615793499625,0.0,0.0,10,11,0.02771039999970526
11,barbell_2d_fuzziness_000,2,hhcart,5,0.7822,0.23303834808259588,0.8657534246575342,0.3672283556072051,0.6771646711782056,0.5328501483434938,0.0,0.0,16,17,0.03365819999999076
11,barbell_2d_fuzziness_000,2,hhcart,6,0.7822,0.23303834808259588,0.8657534246575342,0.3672283556072051,0.6976401179941005,0.5610974990297335,0.09810126582278467,0.0781837251988462,21,22,0.0361616000009235
11,barbell_2d_fuzziness_000,2,hhcart,7,0.7822,0.23303834808259588,0.8657534246575342,0.3672283556072051,0.7281415929203541,0.5488891058585219,0.09810126582278467,0.0781837251988462,24,25,0.06120809999993071
11,barbell_2d_fuzziness_000,2,hhcart,8,0.7822,0.23303834808259588,0.8657534246575342,0.3672283556072051,0.7375198547764918,0.5396620184471772,0.09810126582278467,0.0781837251988462,25,26,0.05182969999987108
11,barbell_2d_fuzziness_000,2,hhcart,9,0.7828,0.2374631268436578,0.8609625668449198,0.3722543352601156,0.7558470290771175,0.5340375590073931,0.3788819875776397,0.09162239534118677,27,28,0.04265359999953944
11,barbell_2d_fuzziness_000,2,hhcart,10,0.7834,0.24041297935103245,0.8601583113456465,0.37579250720461094,0.7789513750118944,0.5533752864339212,0.6085889570552148,0.08926705130446622,30,31,0.056297999999515014
