seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,gini_coverage_class_1_leaves,gini_density_class_1_leaves,splits,leaves,runtime
1,barbell_2d_fuzziness_000,2,hhcart,0,0.7288,0.0,,,0.0,0.0,0.0,0.0,0,1,4.999999873689376e-06
1,barbell_2d_fuzziness_000,2,hhcart,1,0.7288,0.0,,,0.018436578171091345,0.016439002802773217,0.0,0.0,1,2,0.00612850000106846
1,barbell_2d_fuzziness_000,2,hhcart,2,0.7288,0.0,,,0.1515486725663715,0.19919479852828115,0.0,0.0,3,4,0.011968199998591444
1,barbell_2d_fuzziness_000,2,hhcart,3,0.7298,0.32448377581120946,0.5028571428571429,0.3944419542805917,0.4629161399072903,0.392648443389237,0.0,0.0,6,7,0.016142099999342463
1,barbell_2d_fuzziness_000,2,hhcart,4,0.758,0.32448377581120946,0.5994550408719346,0.4210526315789474,0.6276481630463933,0.517615793499625,0.0,0.0,10,11,0.02348840000013297
1,barbell_2d_fuzziness_000,2,hhcart,5,0.7822,0.23303834808259588,0.8657534246575342,0.3672283556072051,0.6771646711782056,0.5328501483434938,0.0,0.0,16,17,0.04813250000006519
1,barbell_2d_fuzziness_000,2,hhcart,6,0.7822,0.23303834808259588,0.8657534246575342,0.3672283556072051,0.6976401179941005,0.5610974990297335,0.09810126582278467,0.0781837251988462,21,22,0.054304299999785144
1,barbell_2d_fuzziness_000,2,hhcart,7,0.7822,0.23303834808259588,0.8657534246575342,0.3672283556072051,0.7281415929203541,0.5488891058585219,0.09810126582278467,0.0781837251988462,24,25,0.055600800000320305
1,barbell_2d_fuzziness_000,2,hhcart,8,0.7822,0.23303834808259588,0.8657534246575342,0.3672283556072051,0.7375198547764918,0.5396620184471772,0.09810126582278467,0.0781837251988462,25,26,0.0489889000000403
1,barbell_2d_fuzziness_000,2,hhcart,9,0.7828,0.2374631268436578,0.8609625668449198,0.3722543352601156,0.7558470290771175,0.5340375590073931,0.3788819875776397,0.09162239534118677,27,28,0.05046500000025844
1,barbell_2d_fuzziness_000,2,hhcart,10,0.7834,0.24041297935103245,0.8601583113456465,0.37579250720461094,0.7789513750118944,0.5533752864339212,0.6085889570552148,0.08926705130446622,30,31,0.04511049999928218
