shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
barbell_2d,0.0,10000,1,2,cart,0,0.7341,0.0,,,0.0,0.0,0,1,0,0.0,6.821006536483765e-06
barbell_2d,0.0,10000,1,2,cart,1,0.7341,0.0,,,0.4962391876645355,0.4737656845822324,1,2,1,0.0,29.154065401759
barbell_2d,0.0,10000,1,2,cart,2,0.7341,0.0,,,0.7439827002632569,0.6412824963361916,3,4,1,1.0,50.93038352113217
barbell_2d,0.0,10000,1,2,cart,3,0.7341,0.0,,,0.8483318110997689,0.6487383422817548,6,7,2,1.0,67.19534459570423
barbell_2d,0.0,10000,1,2,cart,4,0.7351,0.0037608123354644,1.0,0.0074934432371674,0.8985606345516086,0.7527742253013971,10,11,2,1.0,80.67576893093064
barbell_2d,0.0,10000,1,2,cart,5,0.7363,0.0082737871380218,1.0,0.0164117866467735,0.9220336592704024,0.7366339825727095,15,16,2,1.0,91.54814178869128
barbell_2d,0.0,10000,1,2,cart,6,0.7486,0.4471605866867243,0.5324675324675324,0.4860997547015535,0.8962911226920252,0.6969389133955703,20,21,2,1.0,100.493260727264
barbell_2d,0.0,10000,1,2,cart,7,0.9066,0.8864234674689733,0.7885580461692874,0.8346317280453258,0.9015056217660256,0.6554502837589791,28,29,2,1.0,106.57339893607424
barbell_2d,0.0,10000,1,2,cart,8,0.9677,0.9620157954118088,0.9201438848920864,0.9406140834712264,0.9061629106758856,0.6216476124937274,38,39,2,1.0,109.12701798183843
barbell_2d,0.0,10000,1,2,cart,9,0.9745,0.9706656637833772,0.9358230601885424,0.9529259737862286,0.9112371537558226,0.6049052710733149,48,49,2,1.0,109.96159879723564
barbell_2d,0.0,10000,1,2,cart,10,0.9843,0.986461075592328,0.9559037900874636,0.9709420692208032,0.9229579395601064,0.6114731314787436,61,62,2,1.0,112.0473498199135
barbell_2d,0.0,10000,1,2,cart,11,0.9872,0.9827002632568634,0.969573283858998,0.9760926410160627,0.9134657410324952,0.5772095920801119,73,74,2,1.0,111.82136749010532
barbell_2d,0.0,10000,1,2,cart,12,0.9929,0.9917262128619782,0.9817572598659716,0.986716557530402,0.909505453177886,0.5541236599989652,87,88,2,1.0,113.8200552421622
barbell_2d,0.0,10000,8,2,cart,0,0.7341,0.0,,,0.0,0.0,0,1,0,0.0,5.935318768024445e-06
