shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
radial_segment_2d,0.07,10000,8,2,hhcart_a,0,0.5494,1.0,0.5494,0.7091777462243449,0.0,0.0,0,1,0,0.0,6.372109055519104e-06
radial_segment_2d,0.07,10000,8,2,hhcart_a,1,0.646,0.948125227520932,0.615430056710775,0.746382003152314,0.448125227520932,0.2683492899056434,1,2,2,0.0,107.37230555014683
radial_segment_2d,0.07,10000,8,2,hhcart_a,2,0.6992,0.8924281033855115,0.6698087431693989,0.765256750429218,0.6578995267564616,0.2974542331008418,3,4,2,2.0,188.4561443356797
radial_segment_2d,0.07,10000,8,2,hhcart_a,3,0.7322,0.85802693847834,0.7129461584996976,0.7787873781595903,0.7936385147433564,0.4555809389047798,7,8,2,2.0,248.6395897869952
radial_segment_2d,0.07,10000,8,2,hhcart_a,4,0.759,0.8258099745176556,0.7574290484140234,0.7901428073841866,0.8627593738623953,0.4882815730272036,15,16,2,2.0,298.3635779921897
radial_segment_2d,0.07,10000,8,2,hhcart_a,5,0.7671,0.8523844193665817,0.7552007740686986,0.8008550662676357,0.8746785349413437,0.5140025611227195,30,31,2,2.0,340.35645964276046
radial_segment_2d,0.07,10000,8,2,hhcart_a,6,0.7718,0.8807790316709138,0.7483761212496134,0.8091973244147157,0.8816241094180661,0.5085737608260072,55,56,2,2.0,366.1498978817836
radial_segment_2d,0.07,10000,8,2,hhcart_a,7,0.7859,0.8740444120859119,0.7681970884658454,0.8177096636866752,0.899005100221798,0.5060703197370453,96,97,2,2.0,381.1679265890271
radial_segment_2d,0.07,10000,8,2,hhcart_a,8,0.8289,0.7872224244630506,0.8886377645366755,0.8348614998552263,0.9052688696416676,0.5234193259188029,158,159,2,2.0,392.2786624529399
radial_segment_2d,0.07,10000,8,2,hhcart_a,9,0.849,0.8319985438660357,0.8861962000775494,0.8582425835523846,0.9024843397625776,0.5000007919753033,240,241,2,2.0,402.0785613227636
radial_segment_2d,0.07,10000,8,2,hhcart_a,10,0.8622,0.8434655988350929,0.8994565217391305,0.8705617133195567,0.8976589683460183,0.5090662047126402,343,344,2,2.0,408.0939608248882
radial_segment_2d,0.07,10000,8,2,hhcart_a,11,0.8779,0.8636694575900983,0.9095265478244202,0.8860050415460741,0.8860559171443778,0.495678366024292,454,455,2,2.0,412.5442718793638
radial_segment_2d,0.07,10000,8,2,hhcart_a,12,0.8886,0.8702220604295595,0.9226167502894635,0.8956538029224429,0.8755631546471072,0.496738614871836,563,564,2,2.0,420.4027907177806
