shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
radial_segment_3d,0.03,10000,25,3,randcart,0,0.6977,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,1.02287158370018e-05
radial_segment_3d,0.03,10000,25,3,randcart,1,0.6977,0.0,0.0,0.0,0.060039695666556536,0.16328759721108876,1,2,3,3.0,41.63941887021065
radial_segment_3d,0.03,10000,25,3,randcart,2,0.725,0.4035726099900761,0.5629903091832026,0.4701348747591522,0.490985775719484,0.4191113458190465,3,4,3,3.0,66.65423259045929
radial_segment_3d,0.03,10000,25,3,randcart,3,0.7622,0.7406549784981806,0.5841377511087921,0.6531505250875146,0.5941531591134637,0.49692472744066984,7,8,3,3.0,80.27743854559958
radial_segment_3d,0.03,10000,25,3,randcart,4,0.8045,0.6480317565332451,0.6873684210526316,0.6671207219478972,0.7276505127356931,0.5282370826883958,15,16,3,3.0,89.75460153631866
radial_segment_3d,0.03,10000,25,3,randcart,5,0.8328,0.6553092954019186,0.7587131367292225,0.7032303869364571,0.8639872091741094,0.5782269501247339,29,30,3,3.0,108.56314580980688
radial_segment_3d,0.03,10000,25,3,randcart,6,0.9026,0.842871319880913,0.8362323596980636,0.8395387149917627,0.8853467501840726,0.577521394227489,61,62,3,3.0,100.17154584173113
radial_segment_3d,0.03,10000,25,3,randcart,7,0.9182,0.8385709560039696,0.8848167539267016,0.8610733695652174,0.8982781837561855,0.5674910196906862,98,99,3,3.0,104.48559959139675
radial_segment_3d,0.03,10000,25,3,randcart,8,0.9441,0.9090307641415812,0.9063324538258575,0.9076796036333608,0.9087063694471418,0.5797175939668262,154,155,3,3.0,107.35199895501137
radial_segment_3d,0.03,10000,25,3,randcart,9,0.9546,0.9298709890836917,0.9207337045528988,0.9252797893350889,0.9076724907025937,0.5510471289908663,197,198,3,3.0,110.63611573632807
radial_segment_3d,0.03,10000,25,3,randcart,10,0.9624,0.9431028779358254,0.9332242225859247,0.9381375452451465,0.9113643228005583,0.5477447031168678,275,276,3,3.0,108.34308208618313
radial_segment_3d,0.03,10000,25,3,randcart,11,0.9648,0.942772080714522,0.9409045889732585,0.9418374091209518,0.9178174369173808,0.5545193144388028,321,322,3,3.0,119.10370075516403
radial_segment_3d,0.03,10000,25,3,randcart,12,0.9707,0.9513728084684089,0.9516876240900066,0.9515301902398676,0.9065030893318335,0.5652285075065338,378,379,3,3.0,109.54924562573433
