shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
rectangle_2d,0.0,10000,25,2,randcart,0,0.7484,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,7.281079888343811e-06
rectangle_2d,0.0,10000,25,2,randcart,1,0.7484,0.0,0.0,0.0,0.47734499205087455,0.4260214752001723,1,2,2,2.0,26.317319368943572
rectangle_2d,0.0,10000,25,2,randcart,2,0.7484,0.0,0.0,0.0,0.7160174880763117,0.6116474273297068,3,4,2,2.0,43.722980179823935
rectangle_2d,0.0,10000,25,2,randcart,3,0.8222,0.9201112877583466,0.5948098663926003,0.7225343320848939,0.8088803088803089,0.674862381475609,6,7,2,2.0,53.461293613538146
rectangle_2d,0.0,10000,25,2,randcart,4,0.9423,0.9590620031796503,0.8358157256667821,0.8932074773274107,0.8923555908850025,0.6871205261245894,11,12,2,2.0,58.80032877903432
rectangle_2d,0.0,10000,25,2,randcart,5,0.9399,0.9781399046104928,0.8184236780844696,0.8911823284446858,0.9202437731849495,0.6348301131805743,20,21,2,2.0,63.780510869808495
rectangle_2d,0.0,10000,25,2,randcart,6,0.9639,0.9888712241653418,0.8819567529244948,0.9323590031853101,0.9367359245655393,0.5989081759048354,28,29,2,2.0,66.7353991586715
rectangle_2d,0.0,10000,25,2,randcart,7,0.9846,0.9888712241653418,0.9517980107115531,0.969980506822612,0.9495230524642293,0.5679252245108726,39,40,2,2.0,68.41907302197069
rectangle_2d,0.0,10000,25,2,randcart,8,0.9904,0.9912559618441972,0.971183800623053,0.9811172305271441,0.956819749827519,0.5940066687815111,52,53,2,2.0,69.55471737030894
rectangle_2d,0.0,10000,25,2,randcart,9,0.9932,0.9908585055643879,0.9822695035460993,0.9865453106450336,0.9476425503642361,0.5508940302918315,66,67,2,2.0,69.49239566549659
rectangle_2d,0.0,10000,25,2,randcart,10,0.995,0.9932432432432432,0.9869668246445498,0.9900950871632329,0.9508117743411864,0.5178296981382482,65,66,2,2.0,70.3284327313304
rectangle_2d,0.0,10000,25,2,randcart,11,0.9968,0.9948330683624801,0.992466296590008,0.9936482731242557,0.9413071411459808,0.5411724848719941,72,73,2,2.0,68.98146531265229
rectangle_2d,0.0,10000,25,2,randcart,12,0.997,0.9940381558028617,0.9940381558028617,0.9940381558028617,0.9373182364574042,0.5171526491446103,81,82,2,2.0,70.9248457653448
