shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
saddle_3d,0.07,10000,1,3,randcart,0,0.532,1.0,0.532,0.6945169712793734,0.0,0.0,0,1,0,0.0,4.989095032215118e-06
saddle_3d,0.07,10000,1,3,randcart,1,0.6005,0.9627819548872181,0.5742796277609598,0.7194325444202544,0.46278195488721807,0.2581816070561005,1,2,3,3.0,40.84783241059631
saddle_3d,0.07,10000,1,3,randcart,2,0.6615,0.9667293233082707,0.6158543886959645,0.7523955818886694,0.6981203007518797,0.37083997301365246,3,4,3,3.0,74.54859895631671
saddle_3d,0.07,10000,1,3,randcart,3,0.7231,0.9573308270676691,0.6670595939751146,0.7862601312234658,0.6724624060150377,0.31031118718385686,7,8,3,3.0,94.06062148697674
saddle_3d,0.07,10000,1,3,randcart,4,0.7839,0.8586466165413534,0.7642630081980927,0.8087102770647074,0.8325422932330828,0.3979043631796324,15,16,3,3.0,115.37975261826068
saddle_3d,0.07,10000,1,3,randcart,5,0.8627,0.8614661654135338,0.8781375742479403,0.8697219850080653,0.8709798690274071,0.43147703651974934,30,31,3,3.0,122.62566246744245
saddle_3d,0.07,10000,1,3,randcart,6,0.8815,0.9078947368421053,0.8742081447963801,0.8907330567081604,0.8701775991703398,0.43946845095570963,57,58,3,3.0,122.50393430050462
saddle_3d,0.07,10000,1,3,randcart,7,0.8949,0.8977443609022556,0.9040318001135719,0.9008771102518155,0.87965661576622,0.44741337147381777,96,97,3,3.0,132.4785939063877
saddle_3d,0.07,10000,1,3,randcart,8,0.9022,0.8994360902255639,0.9152639632746749,0.9072810011376565,0.9010822510822512,0.45118991321263824,131,132,3,3.0,152.7047233171761
saddle_3d,0.07,10000,1,3,randcart,9,0.9014,0.9045112781954887,0.909640831758034,0.9070688030160227,0.8915637539444468,0.47372652762161094,192,193,3,3.0,156.11811005230993
saddle_3d,0.07,10000,1,3,randcart,10,0.9199,0.9088345864661654,0.9386526887982916,0.9235030083086619,0.8952408194399037,0.46669469479692705,275,276,3,3.0,153.9891967754811
saddle_3d,0.07,10000,1,3,randcart,11,0.9324,0.9216165413533834,0.9498256489732662,0.9355084907460408,0.8899977525335074,0.46228013592935047,367,368,3,3.0,161.47062481381
saddle_3d,0.07,10000,1,3,randcart,12,0.9343,0.9195488721804511,0.9552821714508885,0.93707499281678,0.8743601614874628,0.4514815055494623,405,406,3,3.0,176.88777418620884
