shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
saddle_3d,0.0,10000,1,3,hhcart_a,0,0.6064,0.0,,,0.0,0.0,0,1,0,0.0,5.309469997882843e-06
saddle_3d,0.0,10000,1,3,hhcart_a,1,0.6099,0.9418191056910569,0.5023715950670823,0.6552364118426868,0.44181910569105676,0.3518485884158624,1,2,3,0.0,291.91689721122384
saddle_3d,0.0,10000,1,3,hhcart_a,2,0.8307,0.8513719512195121,0.7515137923301188,0.7983323406789756,0.6412601626016259,0.5138622326643358,3,4,3,3.0,470.25617808289826
saddle_3d,0.0,10000,1,3,hhcart_a,3,0.8395,0.7754065040650406,0.8089053803339518,0.7918017901154495,0.739646849593496,0.44604280644656824,7,8,3,3.0,563.4562606168911
saddle_3d,0.0,10000,1,3,hhcart_a,4,0.8604,0.8579776422764228,0.8013763644992881,0.8287116564417177,0.7843305386178865,0.4610229227400455,15,16,3,3.0,631.0404387079179
saddle_3d,0.0,10000,1,3,hhcart_a,5,0.8899,0.8988821138211383,0.8342372082056119,0.8653540418246302,0.8434959349593494,0.49371650190980554,30,31,3,3.0,681.1430335091427
saddle_3d,0.0,10000,1,3,hhcart_a,6,0.911,0.9024390243902439,0.8753080335140463,0.8886664998749062,0.8844004065040652,0.5503927206855657,55,56,3,3.0,727.2387028327212
saddle_3d,0.0,10000,1,3,hhcart_a,7,0.9332,0.9435975609756098,0.8927884615384616,0.9174901185770751,0.9011943911573952,0.5398490464115526,88,89,3,3.0,763.7891559880227
saddle_3d,0.0,10000,1,3,hhcart_a,8,0.9519,0.9601117886178862,0.921033390202291,0.9401666873989302,0.9008902439024391,0.5299911034081353,124,125,3,3.0,795.6909641213715
saddle_3d,0.0,10000,1,3,hhcart_a,9,0.9668,0.9669715447154471,0.9496007984031936,0.9582074521651561,0.9041559359692977,0.5269327090066527,160,161,3,3.0,818.683616289869
saddle_3d,0.0,10000,1,3,hhcart_a,10,0.9755,0.9842479674796748,0.9548927779147153,0.9693481796572,0.9057953572956783,0.522457016481668,189,190,3,3.0,832.4299533460289
saddle_3d,0.0,10000,1,3,hhcart_a,11,0.9807,0.9860264227642277,0.9656631002737,0.9757385292269013,0.9035176023930052,0.5098986670154382,211,212,3,3.0,847.0932539189234
saddle_3d,0.0,10000,1,3,hhcart_a,12,0.9832,0.9857723577235772,0.9719438877755511,0.9788092835519677,0.899670280036134,0.5054230608574031,224,225,3,3.0,859.4750748034567
