shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
sine_wave_2d,0.07,10000,1,2,ridge_cart,0,0.6752,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0002816366031765938
sine_wave_2d,0.07,10000,1,2,ridge_cart,1,0.6752,0.0,0.0,0.0,0.4141009852216748,0.377042569840051,1,2,1,1.0,44.22289877012372
sine_wave_2d,0.07,10000,1,2,ridge_cart,2,0.8091,0.8263546798029556,0.6661702655745843,0.7376666208602446,0.6052955665024631,0.46608598560180936,3,4,1,1.0,66.48232710827142
sine_wave_2d,0.07,10000,1,2,ridge_cart,3,0.8148,0.6610221674876847,0.740855762594893,0.6986657988935893,0.6864993842364531,0.4617841281439399,7,8,2,1.1428571428571428,80.2634066939354
sine_wave_2d,0.07,10000,1,2,ridge_cart,4,0.8421,0.7161330049261084,0.7797519275896748,0.7465896324827476,0.7593903940886699,0.464504967093911,15,16,2,1.2,88.37599410302937
sine_wave_2d,0.07,10000,1,2,ridge_cart,5,0.87,0.7718596059113301,0.8176777560339205,0.7941083306936965,0.7982604679802956,0.48955612531742876,31,32,2,1.4516129032258065,95.3733760099858
sine_wave_2d,0.07,10000,1,2,ridge_cart,6,0.8801,0.7552339901477833,0.8585929296464824,0.8036036036036036,0.8321349118067694,0.48099066614398467,61,62,2,1.3770491803278688,100.58938387595117
sine_wave_2d,0.07,10000,1,2,ridge_cart,7,0.8862,0.8020320197044335,0.8403225806451613,0.8207309388783869,0.847741467276566,0.49920327630623107,111,112,2,1.3423423423423424,104.73992181941867
sine_wave_2d,0.07,10000,1,2,ridge_cart,8,0.8968,0.8020320197044335,0.8700734802939212,0.8346683755206664,0.8630899206207405,0.5106729488691006,192,193,2,1.3177083333333333,110.57230676803738
sine_wave_2d,0.07,10000,1,2,ridge_cart,9,0.9044,0.8420566502463054,0.8606041535556954,0.8512293806411454,0.8620078109184159,0.5122464723169025,291,292,2,1.3058419243986255,111.36136289127171
sine_wave_2d,0.07,10000,1,2,ridge_cart,10,0.911,0.8088054187192119,0.9071132596685083,0.8551432291666667,0.8576472262791797,0.5100388238548506,397,398,2,1.2997481108312343,111.97462034597993
sine_wave_2d,0.07,10000,1,2,ridge_cart,11,0.9192,0.8549876847290641,0.8917790622992935,0.8729959132348318,0.8553104041782897,0.5161415448526501,497,498,2,1.2796780684104627,113.23181901033968
sine_wave_2d,0.07,10000,1,2,ridge_cart,12,0.9251,0.8556034482758621,0.9084668192219679,0.881243063263041,0.8460505461554937,0.512651828587368,574,575,2,1.2665505226480835,117.05239921994507
