shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
rectangle_2d,0.03,10000,1,2,ridge_cart,0,0.6832,0.0,,,0.0,0.0,0,1,0,0.0,0.000276377890259
rectangle_2d,0.03,10000,1,2,ridge_cart,1,0.6832,0.0,,,0.4551767676767675,0.3605106288111588,1,2,1,0.0,42.031002232804894
rectangle_2d,0.03,10000,1,2,ridge_cart,2,0.7282,0.8563762626262627,0.5452170418006431,0.6662573673870335,0.6518308080808082,0.492152226236737,3,4,1,1.0,68.89920875802636
rectangle_2d,0.03,10000,1,2,ridge_cart,3,0.804,0.834280303030303,0.6481118195193722,0.729505934308584,0.7885101010101012,0.6179205058951838,7,8,2,1.0,83.79162223404273
rectangle_2d,0.03,10000,1,2,ridge_cart,4,0.8892,0.7973484848484849,0.8442513368983957,0.8201298701298702,0.8497895622895626,0.6571327030436453,14,15,2,1.0,93.44661447685212
rectangle_2d,0.03,10000,1,2,ridge_cart,5,0.9203,0.8541666666666666,0.8898388687931601,0.8716379449186664,0.9009709160571228,0.6606045229251056,28,29,2,1.0,100.55186487501489
rectangle_2d,0.03,10000,1,2,ridge_cart,6,0.93,0.9248737373737372,0.8637971698113207,0.8932926829268293,0.9182270821421769,0.6371676529487409,52,53,2,1.0,104.63567338697612
rectangle_2d,0.03,10000,1,2,ridge_cart,7,0.9482,0.9113005050505052,0.924135723431498,0.917673235855054,0.9230813885986298,0.614736134962089,86,87,2,1.0,106.94147502211854
rectangle_2d,0.03,10000,1,2,ridge_cart,8,0.9595,0.9264520202020202,0.9446411329256518,0.9354581673306772,0.9295416284052648,0.5818427227358836,131,132,2,1.0,109.0854802429676
rectangle_2d,0.03,10000,1,2,ridge_cart,9,0.9657,0.925189393939394,0.9650971353309188,0.9447219983883964,0.9315609801720912,0.5719358947174593,188,189,2,1.0,111.41523848101497
rectangle_2d,0.03,10000,1,2,ridge_cart,10,0.9704,0.9403409090909092,0.9653272845106936,0.9526702910137512,0.926209890065312,0.5507275880330182,248,249,2,1.0,112.98930472275242
rectangle_2d,0.03,10000,1,2,ridge_cart,11,0.973,0.9438131313131312,0.9701492537313432,0.9568,0.9250556057261357,0.5397446837275137,301,302,2,1.0,115.10660995729268
rectangle_2d,0.03,10000,1,2,ridge_cart,12,0.9753,0.9510732323232324,0.9703703703703704,0.9606249003666508,0.9212605970418476,0.5367747660233242,335,336,2,1.0,116.75914581026882
