shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
saddle_3d,0.03,10000,8,3,wodt,0,0.5367,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0004196995869278908
saddle_3d,0.03,10000,8,3,wodt,1,0.6344,0.9646017699115044,0.5613616379851777,0.709703033190408,0.46460176991150437,0.37467679411243826,1,2,3,3.0,0.0962156942114234
saddle_3d,0.03,10000,8,3,wodt,2,0.819,0.8970429527304122,0.7571506649662962,0.8211815846670618,0.6734837038635872,0.4508792122732046,3,4,3,3.0,0.1991420043632388
saddle_3d,0.03,10000,8,3,wodt,3,0.8435,0.9175480250377726,0.7822966507177034,0.8445415714711434,0.7842920353982301,0.4372886407973766,7,8,3,3.0,0.2910195756703615
saddle_3d,0.03,10000,8,3,wodt,4,0.8601,0.9555363695229873,0.7877224199288256,0.8635521310835854,0.8091274552126051,0.4933196627010259,15,16,3,3.0,0.4100270215421915
saddle_3d,0.03,10000,8,3,wodt,5,0.8849,0.9121519533779409,0.8503018108651912,0.8801416224096636,0.8571192172098709,0.5192144559280676,30,31,3,3.0,0.5848330417647958
saddle_3d,0.03,10000,8,3,wodt,6,0.9156,0.9279084826246492,0.8939488459139114,0.9106121584410082,0.8844769734905713,0.5733576530957696,55,56,3,3.0,0.8322680713608861
saddle_3d,0.03,10000,8,3,wodt,7,0.9409,0.9369738830131664,0.9355603448275862,0.9362665803946942,0.8995893846422662,0.5687926518380393,85,86,3,3.0,1.0834809504449368
saddle_3d,0.03,10000,8,3,wodt,8,0.9546,0.9421541118066048,0.9591298615688859,0.9505662020905923,0.9023868623641988,0.5393263772628494,126,127,3,3.0,1.4283726401627064
saddle_3d,0.03,10000,8,3,wodt,9,0.9603,0.9535937837254479,0.9604347826086956,0.9570020578360229,0.9095379958738874,0.5253340535842652,183,184,3,3.0,1.8323712879791856
saddle_3d,0.03,10000,8,3,wodt,10,0.9666,0.9637383984459313,0.9641546102353703,0.9639464594127807,0.9090703526274433,0.5079745365070039,246,247,3,3.0,2.2885428415611386
saddle_3d,0.03,10000,8,3,wodt,11,0.9735,0.9652492985106842,0.9772727272727273,0.9712238028016071,0.9119918819904482,0.5047879172778738,321,322,3,3.0,2.7584796184673905
saddle_3d,0.03,10000,8,3,wodt,12,0.9794,0.9665443557090438,0.9887392360344447,0.9775158262388125,0.9172845520416442,0.5124563722634463,394,395,3,3.0,3.192422838881612
